comparison,variable,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,baseline_point_error_squared_sum,candidate_point_error_squared_sum,delta_point_error_squared_sum,baseline_shape_point_sse_K2,candidate_shape_point_sse_K2,delta_shape_point_sse_K2,baseline_scale_point_sse_K2,candidate_scale_point_sse_K2,delta_scale_point_sse_K2,baseline_cross_point_sse_K2,candidate_cross_point_sse_K2,delta_cross_point_sse_K2
V42_minus_V38,objective,V38,V42,sample_0224,Q3,0.6197833329296856,8.087136498363792,3.391605288919185,-4.695531209444607,3.2641125871621774,2.803619386647546,-0.4604932005146316,4.20880919740287,0.3918878290596106,-3.816921368343259,0.6142147137987468,0.1960980732120283,-0.4181166405867185
V42_minus_V38,objective,V38,V42,sample_0226,Q1,0.058075400567802395,0.16902507567803818,0.053893830041630716,-0.11513124563640746,0.07602993874536415,0.053789448833608956,-0.022240489911755194,0.11375099824573302,9.2239808287251e-06,-0.1137417742649043,-0.020755861313058982,9.515722719302982e-05,0.020851018540252012
V42_minus_V38,objective,V38,V42,sample_0229,Q4,0.8969272992883323,53.690506036123494,16.527944952168042,-37.16256108395545,26.96787686059725,15.198884066607192,-11.768992793990058,29.61750375103619,1.540400538962999,-28.07710321207319,-2.8948745755099416,-0.21133965340215077,2.683534922107791
V42_minus_V38,objective,V38,V42,sample_0234,Q3,0.38896814091839,2.4618480736094877,1.887080670900116,-0.5747674027093717,2.42426226426324,1.7351551027404366,-0.6891071615228033,0.10103131350335022,0.18569054296549922,0.084659229462149,-0.06344550415710176,-0.03376497480581929,0.029680529351282472
V42_minus_V38,objective,V38,V42,sample_0240,Q1,0.08668854138869422,0.1635826838120413,0.1864535558263382,0.02287087201429691,0.131634841756328,0.1553690556076001,0.023734213851272085,0.042304099654666666,0.05036379602044636,0.008059696365779696,-0.010356257598953394,-0.01927929580170822,-0.008923038202754825
V42_minus_V38,objective,V38,V42,sample_0262,Q4,1.4815468124091347,25.781909630952633,13.540859080136899,-12.241050550815734,24.98910462888408,9.289706457933024,-15.699398170951055,0.43749173071254266,3.6867302230895778,3.249238492377035,0.3553132713560073,0.5644223991142951,0.20910912775828783
V42_minus_V38,objective,V38,V42,sample_0265,Q2,0.2449745382555374,13.270940621895399,10.617803437799711,-2.653137184095687,9.07793818725434,9.45149726669185,0.373559079437511,2.371919839497889,0.42635447187158454,-1.9455653676263045,1.8210825951431682,0.7399516992362767,-1.0811308959068915
V42_minus_V38,objective,V38,V42,sample_0271,Q4,1.3831723659142101,76.10690707076384,58.18584398445637,-17.92106308630747,29.358554520034566,29.133054799293596,-0.22549972074097013,46.50809770556793,24.251954118657846,-22.25614358691008,0.24025484516135776,4.800835066504915,4.560580221343557
V42_minus_V38,objective,V38,V42,sample_0281,Q4,1.4172206963127103,28.86383518132779,92.87991863892739,64.0160834575996,17.248316753019083,18.55832196016005,1.3100052071409678,12.618260064347464,73.14414182475768,60.525881760410215,-1.002741636038757,1.1774548540096603,2.1801964900484174
V42_minus_V38,objective,V38,V42,sample_0283,Q2,0.25939914864171104,3.954299563023042,2.4460321679986965,-1.5082673950243457,2.439567772886578,2.1086279842128017,-0.3309397886737764,2.474464221492387,0.7216227184963766,-1.7528415029960103,-0.9597324313559222,-0.3842185347104818,0.5755138966454405
V42_minus_V38,objective,V38,V42,sample_0304,Q2,0.22636690019492287,6.040059296093158,7.6799213542540254,1.6398620581608672,4.942116561921277,5.564364345688549,0.6222477837672722,0.809300203110777,1.5851283651713803,0.7758281620606033,0.28864253106110493,0.5304286433940955,0.24178611233299052
V42_minus_V38,objective,V38,V42,sample_0323,Q4,1.1575128402634633,26.4780361165595,17.53270704723507,-8.94532906932443,22.300581394556907,16.696746528100647,-5.6038348664562605,2.9751440360170047,1.5305597923028578,-1.444584243714147,1.2023106859855894,-0.6945992731684333,-1.8969099591540228
