sample_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g034_t0_b1_p0,train,1.4578799958227964,0.04307341494184933,6.570043414286772,1.666984005115296,2.574140277841707,0.10823680707261474,-1.194721543917865e-10
p1g_g034_t0_b1_p1,train,2.1868199936632093,0.04307341494193521,9.855065121086284,2.5004760075838703,3.8612104166346626,0.16235521060292513,-8.441630727773486e-11
p1g_g034_t1_b0_p0,train,0.4774579836117833,0.017058301317231014,2.783134915360222,0.5117995038399386,0.5776457982698275,0.10834671117390826,-1.185309628226605e-10
p1g_g034_t1_b0_p1,train,0.7161869754107715,0.017058301317666145,4.174702373042294,0.7676992557604194,0.8664686973856419,0.16252006676785413,-8.268323988443645e-11
p1g_g034_t1_b1_p0,train,1.0966758590715544,0.04426595237680882,4.807247689903818,1.2117263726220813,1.9050413039753948,0.10837664882217268,-1.1812582856318699e-10
p1g_g034_t1_b1_p1,train,1.6450137885556155,0.04426595237696366,7.210871534602177,1.8175895588652224,2.857561955866913,0.16256497324053498,-8.230266468345349e-11
p1g_g035_t0_b0_p0,train,0.4971294123300908,0.01283387434319937,1.8997739904712034,0.5230631347117765,0.8025712052969993,0.05176644626072857,-1.201621371849093e-10
p1g_g035_t0_b0_p1,train,0.7456941184778164,0.01283387434334146,2.849660985608466,0.7845947020682615,1.2038568079058223,0.07764966939288342,-8.512867262962705e-11
p1g_g035_t0_b1_p0,train,1.4485471375763705,0.04276843972571599,6.651651720709538,1.668253391677581,2.6067640249348187,0.05122308175117496,-1.1946481998093006e-10
p1g_g035_t0_b1_p1,train,2.172820706291571,0.04276843972574942,9.97747758072444,2.5023800874259905,3.9101460372707493,0.07683462262951934,-8.44356621657975e-11
p1g_g035_t1_b0_p0,train,0.4155979261702375,0.014832163733232335,1.4824768738598095,0.525953557087405,0.606210731775775,0.05186090154649037,-1.1851738340729057e-10
p1g_g035_t1_b0_p1,train,0.6233968892439857,0.014832163733477273,2.223715310720138,0.788930335631278,0.9093160976329955,0.0777913523148186,-8.269126124578936e-11
p1g_g035_t1_b1_p0,train,1.0799607767502446,0.04355295654163733,4.889428667044058,1.2130294357096432,1.937702535817607,0.051463408727386195,-1.1808638095134327e-10
p1g_g035_t1_b1_p1,train,1.6199411650713909,0.04355295654170328,7.334143000316033,1.8195441534953716,2.9065538036272187,0.07719511308329174,-8.227244811346661e-11
p1g_g036_t0_b0_p0,train,0.5064231455719261,0.013068755892807992,1.9907549363311432,0.5308479310608618,0.8113419805119406,0.002846166069616629,-1.2018844947059293e-10
p1g_g036_t0_b0_p1,train,0.7596347183425853,0.013068755892994624,2.986132404400905,0.796271896592259,1.2170129707340607,0.004269249104481787,-8.513197785608995e-11
