sample_id,seed,model,label,sse,truth_sse,cv_sse,cv_truth_energy,absolute_error_sum,node_count,hotspot_sse,hotspot_count,sample_first_relative_rmse_pct,point_global_relative_rmse_pct,rmse_K,mae_K,peak_temperature_absolute_error_K,true_hotspot_region_rmse_K
v6p1if1_0669,2,Heat3D,heat3d_seed2,1612659.6850348958,1349146453.1071157,2.6783911464376496e-06,0.002114996458719369,610889.8249816895,240825,40671.69864510896,2409,3.558624612157044,3.4573378169914237,2.5877396490707816,2.536654520841646,4.3343963623046875,4.108920660392881
v6p1if1_0669,0,Therm-FM,thermfm_seed0,1452209.4227467133,1349146453.1071157,2.0648678500349303e-06,0.002114996458719369,529195.3059310913,240825,18455.466938677302,2409,3.1245775562272082,3.2808401963008986,2.455635146935386,2.197426786799922,5.3393707275390625,2.7678599960122305
v6p1if1_0669,1,Therm-FM,thermfm_seed1,173362.80306592595,1349146453.1071157,2.906625407251155e-07,0.002114996458719369,163484.504611969,240825,3440.1631048055133,2409,1.17230255214397,1.1335701786825958,0.8484518006787766,0.6788518825369833,2.9080047607421875,1.1950088370871061
v6p1if1_0669,2,Therm-FM,thermfm_seed2,198732.82288932803,1349146453.1071157,3.024488406121531e-07,0.002114996458719369,179156.25988006592,240825,2209.2382124445285,2409,1.1958346680449454,1.2136829551008093,0.9084144132171588,0.7439271665319876,1.9361114501953125,0.9576413125688642
v6p1if1_0694,0,Heat3D,heat3d_seed0,740551.2413915996,1913395310.6283994,9.810141762065255e-07,0.003002904713420073,354728.12100219727,240825,104282.45361716143,2409,1.807452387559301,1.9673208944505263,1.7535848011719524,1.4729705014105565,5.956428527832031,6.579414088952509
v6p1if1_0694,1,Heat3D,heat3d_seed1,1468312.3465395942,1913395310.6283994,2.0951873189273196e-06,0.003002904713420073,552542.5361328125,240825,107011.94789377257,2409,2.641439406623207,2.7701728766965257,2.4692123521366756,2.294373657771463,4.753852844238281,6.66496287569565
v6p1if1_0694,2,Heat3D,heat3d_seed2,1340628.4346542582,1913395310.6283994,1.88513188177558e-06,0.003002904713420073,518346.1128997803,240825,139132.68395687296,2409,2.505532805206229,2.646987318467396,2.3594100706462338,2.152376675593399,7.658668518066406,7.599695323819977
v6p1if1_0694,0,Therm-FM,thermfm_seed0,1805581.549486136,1913395310.6283994,2.7012476517369066e-06,0.003002904713420073,465335.7935333252,240825,71339.57543722843,2409,2.999241421628341,3.071893828821214,2.7381533659455894,1.9322570062631588,12.427391052246094,5.441853678286987
v6p1if1_0694,1,Therm-FM,thermfm_seed1,1044389.0077932356,1913395310.6283994,1.6995664594317649e-06,0.003002904713420073,464904.92263031006,240825,39053.17650042905,2409,2.3790211339306966,2.3363009925440354,2.0824777101919785,1.9304678610207,1.7022018432617188,4.026333848454043
v6p1if1_0694,2,Therm-FM,thermfm_seed2,792780.1851414875,1913395310.6283994,1.1211896918295707e-06,0.003002904713420073,339541.4976158142,240825,69311.94452016498,2409,1.932274276306414,2.035513751706893,1.814368966261935,1.4099096755561682,8.959419250488281,5.36396136987269
